vol,price
0.01,7.03656
0.02,6.98633
0.03,6.7604
0.04,6.40651
0.05,6.00004
0.06,5.58889
0.07,5.19375
0.08,4.82364
0.09,4.48233
0.1,4.17246
0.11,3.89278
0.12,3.63902
0.13,3.40669
0.14,3.18722
0.15,2.98658
0.16,2.8
0.17,2.6251
0.18,2.46004
0.19,2.30212
0.2,2.14742
0.21,2.00424
0.22,1.88576
0.23,1.75163
0.24,1.65839
0.25,1.53961
0.26,1.45907
0.27,1.35973
0.28,1.25797
0.29,1.18513
0.3,1.10362
0.31,1.04102
0.32,0.965832
0.33,0.908546
0.34,0.872604
0.35,0.786696
0.36,0.715873
0.37,0.657973
0.38,0.615076
0.39,0.548425
0.4,0.527478
0.41,0.47879
0.42,0.399842
0.43,0.35131
0.44,0.311906
0.45,0.307079
0.46,0.312851
0.47,0.289045
0.48,0.202244
0.49,0.185904
0.5,0.132977
0.51,0.109546
0.52,0.0606761
0.53,0.0355056
0.54,0.0278873
0.55,-0.0121106
0.56,0.00750319
0.57,-0.0322637
0.58,0.0219877
0.59,-0.0163087
0.6,-0.00230209
0.61,-0.0775029
0.62,-0.042437
0.63,-0.0544424
0.64,-0.114849
0.65,-0.134223
0.66,-0.157977
0.67,-0.122556
0.68,-0.125855
0.69,-0.143732
0.7,-0.199676
0.71,-0.228016
0.72,-0.247661
0.73,-0.235778
0.74,-0.24615
0.75,-0.316964
0.76,-0.372382
0.77,-0.383505
0.78,-0.377045
0.79,-0.347895
